Metric,Model,Score
Accuracy,TF-IDF + Logistic Regression,0.9144988909054245
Accuracy,DistilBERT,0.9151038515829805
Precision,TF-IDF + Logistic Regression,0.9082641360221432
Precision,DistilBERT,0.9142628205128205
Recall,TF-IDF + Logistic Regression,0.9228605865809562
Recall,DistilBERT,0.9168340699075934
F1,TF-IDF + Logistic Regression,0.9155041849342368
F1,DistilBERT,0.9155466399197593
ROC-AUC,TF-IDF + Logistic Regression,0.9715424792162437
ROC-AUC,DistilBERT,0.9724413329581332
AP,TF-IDF + Logistic Regression,0.9705113373161356
AP,DistilBERT,0.9705387921741239
